Name;Country;Potential emissions (Gt CO2);Fuel;New project;Latitude;Longitude;Start year;Description;Operator;Operator copy;Banks;
Blackwater Coal Mine;Australia;10.0;Coal;;-23.6;148.8;1965;Blackwater is a large coal mine located in Queensland, Australia. It was established in 1965 and is operated by BHP Billiton Mitsubishi Alliance (BMA). The mine produces thermal coal which is primarily exported to countries including Japan, South Korea, and Taiwan. The development of Blackwater has contributed to the growth of the Australian mining industry and the country's economy.;BHP Billiton Mitsubishi Alliance (BMA);BHP Billiton Mitsubishi Alliance (BMA);;
Hunter Valley South Coal Mine;Australia;12.0;Coal;;-32.5;151.3;1993;Hunter Valley South is a coal mine located in the Hunter Valley region of New South Wales. It is operated by Glencore and produces thermal and coking coal for export. The mine is one of the largest coal producers in the Hunter Valley.;Glencore;Glencore;;
Hutton Coal Mine;Australia;17.0;Coal;;-32.4;151.3;1981;Hunter Valley North is a coal mine located in the Hunter Valley region of New South Wales. It is operated by Glencore and produces thermal and coking coal for export. The mine is one of the largest coal producers in the Hunter Valley.;Glencore;Glencore;;
Carmichael Coal Project;Australia;21.0;Coal;;-22.3;148.5;2010;The Carmichael Project is a proposed coal mine located in the Galilee Basin in Queensland, Australia. The mine is expected to produce up to 10 million tonnes of coal per year for export to overseas markets. The project has been controversial due to concerns over its potential impact on the environment and the Great Barrier Reef. It is being developed by Adani, an Indian conglomerate.;Adani;Adani;;
Goonyella-Riverside Coal Mine;Australia;22.0;Coal;;-20.2;148.8;1971;Goonyella-Riverside is a large coal mine complex located in the Bowen Basin in Queensland, Australia. It produces both coking and thermal coal and is one of the largest coal mines in the world. The mine is operated by BHP.;BHP;BHP;;
Saraji East Coal Mine;Australia;13.0;Coal;;-22.3;148.0;1993;Ensham is a coal mine located in the Bowen Basin in central Queensland. It is operated by Idemitsu Australia Resources and produces thermal coal for export. The mine has estimated reserves of over 1 billion tonnes of coal.;Idemitsu Australia Resources;Idemitsu Australia Resources;;
Byerwen Coal Mine;Australia;18.0;Coal;;-22.0;148.7;2017;Byerwen is a coal mine located in the Bowen Basin in Queensland, Australia. It is owned by Byerwen Coal, a joint venture between QCoal and JFE Steel, and produces metallurgical coal for export to Japan, South Korea, and Taiwan. The mine has a capacity of 10 million metric tons of coal per year. The development of Byerwen is important for Queensland's coal industry and economic growth.;Byerwen Coal (joint venture between QCoal and JFE Steel);Byerwen Coal (joint venture between QCoal and JFE Steel);;
Loy Yang Coal Mine;Australia;31.0;Coal;;-38.3;146.4;1985;Loy Yang is a brown coal-fired power station located in the Latrobe Valley in Victoria, Australia. It is one of the largest power stations in Australia and generates around one third of Victoria's electricity. The Loy Yang mine supplies the coal for the power station.;AGL Energy;AGL Energy;;
Olive Downs Coal Mine;Australia;14.0;Coal;;-22.1;148.6;2020;Olive Downs is a coal mine located in the Bowen Basin in central Queensland. It is operated by Pembroke Resources and produces metallurgical coal for export. The mine has estimated reserves of over 800 million tonnes of coal.;Pembroke Resources;Pembroke Resources;;
Gorgon LNG T1-T3;Australia;19.0;Oil&Gas;;-20.4;116.9;2009;Gorgon LNG is a liquefied natural gas (LNG) project located on Barrow Island off the coast of Western Australia. It consists of three processing trains (T1-T3) that produce LNG, condensate, and LPG from natural gas extracted from the Gorgon and Jansz-Io offshore gas fields. The project is operated by Chevron and has a capacity of 15.6 million metric tons of LNG per year. The development of Gorgon LNG is important for Australia's energy exports and economic growth.;Chevron;Chevron;;
Alpha North Coal Mine;Australia;25.0;Coal;;-23.4;148.1;;The Alpha North Project is a proposed coal mine located in the Galilee Basin in Queensland, Australia. The mine is expected to produce up to 32 million tonnes of coal per year for export to overseas markets. The project is currently under assessment by the Queensland Government.;Alpha Coal;Alpha Coal;;
Hunter Valley North Coal Mine;Australia;17.0;Coal;;-24.1;148.0;2003;Hutton is a coal mine located in the Bowen Basin in central Queensland. It is operated by Hutton Pty Ltd, a subsidiary of Peabody Energy. The mine produces thermal coal for export.;Hutton Pty Ltd;Hutton Pty Ltd;;
Red Hill Coal Project;Australia;46.0;Coal;;-22.3;149.0;;The Red Hill Coal Project is a proposed coal mine located in the Bowen Basin in Central Queensland, Australia. The mine is expected to produce up to 14 million tonnes of coal per year for export to overseas markets. The project is currently under assessment by the Queensland Government.;Pembroke Resources;Pembroke Resources;;
Goldwyer Shale;Australia;45.0;Oil&Gas;New project;-22.8;121.6;;The Goldwyer Project is a shale gas and oil exploration project located in the Canning Basin in Western Australia. The project is currently in the exploration phase and is being led by Buru Energy, an Australian oil and gas company.;Buru Energy;Buru Energy;;
Galilee Coal Mine;Australia;18.0;Coal;;-21.9;146.1;;Galilee is a proposed coal mine located in the Galilee Basin in Queensland, Australia. It is owned by Adani Australia, a subsidiary of the Indian conglomerate Adani Group, and would produce thermal coal for export to India. The mine has faced opposition from environmental groups and Indigenous communities due to its potential impact on the Great Barrier Reef and traditional land rights.;Adani Australia;Adani Australia;;
Wards Well Coal Mine;Australia;27.0;Coal;;-20.8;134.1;;The Wards Well Project is a shale gas exploration project located in the McArthur Basin in the Northern Territory, Australia. The project is being led by Empire Energy, an Australian oil and gas company.;Empire Energy;Empire Energy;;
Ensham Coal Mine;Australia;13.0;Coal;;-22.4;148.7;1998;Saraji East is a coal mine located in the Bowen Basin in central Queensland. It is operated by BHP and produces metallurgical coal for export. The mine has estimated reserves of over 150 million tonnes of coal.;BHP;BHP;;
ACG (Azeri-Chirag-Guneshli Deep Water);Azerbaijan;17.0;Oil&Gas;;40.4;49.9;1997;ACG is a deepwater oil and gas development project located in the Caspian Sea, offshore from Azerbaijan. It is being developed by a consortium of oil and gas companies, including BP, Chevron, and ExxonMobil. The project aims to extract hydrocarbons from several offshore fields in the region, including the Azeri Field, the Chirag Field, and the Guneshli Field. The development of offshore resources in the Caspian Sea is important for Azerbaijan's energy sector and economy.;BP,Chevron,ExxonMobil and other consortium members;BP,Chevron,ExxonMobil and other consortium members;;
Central Arabian Offshore;Bahrain;14.0;Oil&Gas;New project;26.1;50.5;;Central Arabian Offshore is an oil and gas development project located in the Persian Gulf off the coast of Bahrain. It is being developed by the Bahrain Petroleum Company (Bapco), a state-owned oil and gas company. The project aims to extract hydrocarbons from several offshore fields in the region, including the Bahrain Field and the Abu Safah Field. The development of offshore resources is important for Bahrain's energy sector and economy.;Bahrain Petroleum Company (Bapco);Bahrain Petroleum Company (Bapco);;
Phulbari Coal Mine;Bangladesh;14.0;Coal;;25.9;88.7;;Phulbari is a coal mine development project located in the Dinajpur District of northern Bangladesh. It is being developed by the London-based company, Asia Energy Corporation. The project aims to extract coal from an estimated 572 million tonne reserve in the region. However, the project has faced significant opposition from local communities and environmental activists due to concerns over its potential impact on the environment and the livelihoods of local people. The project remains controversial and has yet to begin operation.;Asia Energy Corporation;Asia Energy Corporation;;
Project Motheo;Botswana;22.0;Coal;;-24.7;25.9;;Project Motheo is a coal mine development project located in the southeastern region of Botswana. It is being developed by Minergy Limited, a Botswana-based mining company. The project aims to extract coal from the Masama coal deposit, which is estimated to hold over 390 million tonnes of coal. The coal produced from the project will be primarily exported to regional markets, including South Africa and India.;Minergy Limited;Minergy Limited;;
Irati Shale;Brazil;27.0;Oil&Gas;New project;-25.1;-50.2;;Irati Shale is a shale gas project located in the Paraná Basin in southern Brazil. It is being explored by several companies, including Petrobras and Shell. The project aims to extract natural gas from shale rock formations deep beneath the ground. The development of shale gas in Brazil is seen as a potential source of energy security and economic growth.;Petrobras,Shell;Petrobras,Shell;;
Mero (Libra NW);Brazil;13.0;Oil&Gas;;-22.5;-42.0;2017;Mero is an offshore oil field located in the Santos Basin off the coast of Rio de Janeiro, Brazil. It is part of the larger Libra project and is operated by Petrobras in partnership with international oil companies. The field has estimated reserves of between 3-4 billion barrels of oil, and is being developed using advanced technologies such as subsea pumps and horizontal wells. The development of Mero is important for Brazil's energy security and economic growth.;Petrobras,Total,Shell,CNPC,CNOOC;Petrobras,Total,Shell,CNPC,CNOOC;;
Candeias Shale;Brazil;16.0;Oil&Gas;New project;-13.0;-39.0;;Candeias Shale is a shale gas project located in the Candeias Basin in Bahia, Brazil. It is being developed by Petrobras and aims to extract natural gas from shale rock formations deep beneath the ground. The development of the Candeias Basin is seen as a potential source of economic growth for the region, and has attracted investment from the Brazilian government and international companies.;Petrobras;Petrobras;;
Libra;Brazil;19.0;Oil&Gas;New project;-22.6;-41.8;2013;Libra is an offshore oil field located in the Santos Basin off the coast of Rio de Janeiro, Brazil. It was discovered in 2010 and is operated by Petrobras, the state-owned oil and gas company of Brazil. The field has estimated reserves of between 8-12 billion barrels of oil, making it one of the largest discoveries in the country's history. The development of Libra is important for Brazil's economy and energy security. It has also attracted investment and partnerships with international oil companies.;Petrobras,Total,Shell,CNPC,CNOOC;Petrobras,Total,Shell,CNPC,CNOOC;;
Llandovery Shale;Brazil;43.0;Oil&Gas;New project;-23.7;-45.0;2006;Santos Offshore is a collection of offshore oil and gas fields located in the Santos Basin off the coast of Brazil. It was discovered in 2006 and is operated by Petrobras. The fields have estimated reserves of over 10 billion barrels of oil equivalent, making it one of the largest oil discoveries in recent years. The development of Santos Offshore is important for Brazil's energy security and economic growth.;Petrobras;Petrobras;;
Buzios (x-Franco);Brazil;36.0;Oil&Gas;;-22.8;-41.9;2010;Buzios is an offshore oil field located in the Santos Basin off the coast of Brazil. It was discovered in 2010 and is operated by Petrobras. The field has estimated reserves of over 12 billion barrels of oil equivalent, making it one of the largest oil discoveries in recent years. Buzios was originally part of the Franco oil field, but was separated into its own project in 2018. The development of Buzios is important for Brazil's energy security and economic growth.;Petrobras;Petrobras;;
Santos Offshore;Brazil;43.0;Oil&Gas;New project;-33.0;-53.9;;Llandovery Shale is a shale gas project located in the Pelotas Basin in southern Brazil. It is being explored by several companies, including Petrobras and TotalEnergies. The project aims to extract natural gas from shale rock formations deep beneath the ground. The development of shale gas in Brazil is seen as a potential source of energy security and economic growth.;Petrobras,TotalEnergies;Petrobras,TotalEnergies;;
Campos Offshore;Brazil;16.0;Oil&Gas;New project;-23.0;-41.0;1974;Campos Offshore is an offshore oil and gas field located off the coast of Rio de Janeiro, Brazil. It was discovered in 1974 and is operated by Petrobras. The field has estimated reserves of over 8 billion barrels of oil equivalent and is one of the largest producers of oil and gas in Brazil. The development of Campos Offshore has been crucial to the growth of Brazil's oil and gas industry and its economy.;Petrobras;Petrobras;;
Parnaiba Onshore;Brazil;20.0;Oil&Gas;New project;-5.3;-44.6;;Parnaiba Onshore is a natural gas project located in the Parnaiba Basin in northeastern Brazil. It is being explored by several companies, including Petrobras and BP. The project aims to extract natural gas from conventional reservoirs located onshore. The development of natural gas in Brazil is seen as a potential source of energy security and economic growth.;Petrobras,BP;Petrobras,BP;;
Lula (X-Tupi);Brazil;25.0;Oil&Gas;;-22.6;-42.1;2006;Lula is an offshore oil field located in the Santos Basin off the coast of Brazil. It was discovered in 2006 and is operated by Petrobras. The field has estimated reserves of over 8 billion barrels of oil equivalent, making it one of the largest oil discoveries in recent years. Lula was originally part of the Tupi oil field, but was separated into its own project in 2010. The development of Lula is important for Brazil's energy security and economic growth.;Petrobras;Petrobras;;
Maritsa Coal Mines;Bulgaria;25.0;Coal;;42.0;25.5;1923;The Maritsa Coal Mines are a series of coal mines located in southern Bulgaria, near the Maritsa River. They were established in 1923 and are operated by the Bulgarian state-owned energy company, Mini Maritsa Iztok EAD. The mines produce lignite coal, which is used for electricity generation in Bulgaria. The development of the Maritsa Coal Mines has played a significant role in Bulgaria's energy sector and economy.;Mini Maritsa Iztok EAD;Mini Maritsa Iztok EAD;;
Spirit River (Notikewin; Falher; Wilrich);Canada;30.0;Oil&Gas;;55.7;-118.8;;Spirit River is a natural gas and oil field located in northwestern Alberta, Canada. It includes three formations: Notikewin, Falher, and Wilrich. The field has estimated reserves of over 3.5 trillion cubic feet of natural gas and 135 million barrels of oil. Several companies are involved in the development of the field, including Encana, Chevron, and Shell.;Encana,Chevron,Shell;Encana,Chevron,Shell
Montney Play;Canada;137.0;Oil&Gas;;57.0;-120.1;2000;Montney Play is a shale gas and oil play located in northeastern British Columbia and northwestern Alberta, Canada. It covers an area of over 130,000 square kilometers and is estimated to contain up to 449 trillion cubic feet of natural gas and 14 billion barrels of oil. The development of Montney Play has been important for Canada's energy industry and economic growth. Several companies are involved in the development of the play, including Encana, Chevron, and Shell.;Encana,Chevron,Shell;Encana,Chevron,Shell;;
Gething Coal Mine;Canada;21.0;Coal;;55.7;-120.4;;Gething is a coal mine located in northeastern British Columbia, Canada. It is owned by Canadian Dehua International Mines Group and produces metallurgical coal which is used in the steelmaking process. The development of Gething has contributed to the growth of the Canadian mining industry and economy.;Canadian Dehua International Mines Group;Canadian Dehua International Mines Group;;
Duvernay;Canada;19.0;Oil&Gas;;57.0;-111.2;2013;Kearl is an oil sands project located in northern Alberta, Canada. It was established in 2013 and is operated by Imperial Oil, a subsidiary of ExxonMobil. The project produces bitumen, a heavy crude oil, which is extracted from the oil sands using a combination of mining and in-situ techniques. The bitumen is then upgraded and refined into synthetic crude oil for domestic and international markets.;Imperial Oil;Imperial Oil;;
Christina Lake;Canada;12.0;Oil&Gas;;59.3;-128.5;;The Liard shale is a natural gas formation located in northeastern British Columbia, Canada. It is being developed by several companies, including Chevron, Encana, and Shell. The project aims to extract natural gas from the shale rock formations deep beneath the ground. The development of the Liard shale is seen as a potential source of economic growth for the region, and has attracted investment from the Canadian government and international companies.;Chevron,Encana,Royal Dutch Shell;Chevron,Encana,Royal Dutch Shell;;
Murray River Coal Mine;Canada;85.0;Coal;;55.7;-121.4;2014;Murray River is a coal mine located in northeastern British Columbia, Canada. It was established in 2014 and is operated by Conuma Coal Resources. The mine produces metallurgical coal which is used in the steelmaking process. The development of Murray River has contributed to the growth of the Canadian mining industry and economy.;Conuma Coal Resources;Conuma Coal Resources;;
Liard Shale;Canada;12.0;Oil&Gas;;56.3;-110.8;2000;Christina Lake is an oil sands project located in northern Alberta, Canada. It was established in 2000 and is operated by Cenovus Energy. The project produces bitumen, a heavy crude oil, which is extracted from the oil sands using in-situ techniques. The bitumen is then upgraded and refined into synthetic crude oil for domestic and international markets. The development of Christina Lake has contributed to the growth of the Canadian oil industry and the country's economy.;Cenovus Energy;Cenovus Energy;;
Syncrude Mildred Lake/Aurora;Canada;12.0;Oil&Gas;;56.8;-111.3;1978;Syncrude Mildred Lake and Aurora are two oil sands mining operations located in the Athabasca Oil Sands region in northeastern Alberta, Canada. They were established in 1978 and are operated by Syncrude Canada Ltd., a joint venture between several oil companies. The operations extract bitumen from the oil sands, which is then upgraded into synthetic crude oil. The development of oil sands resources is important for Canada's energy security and economic growth, but also faces criticism for its environmental impact.;Syncrude Canada Ltd.;Syncrude Canada Ltd.;;
Kearl;Canada;19.0;Oil&Gas;;53.8;-115.5;2002;The Duvernay shale is a natural gas and oil formation located in western Canada. It was first explored in 2002 and is currently being developed by several companies, including Chevron, Encana, and Royal Dutch Shell. The project aims to extract natural gas and oil from the shale rock formations deep beneath the ground. The development of the Duvernay shale is seen as a potential source of economic growth for the region, and has attracted investment from the Canadian government and international companies.;Chevron,Encana,Royal Dutch Shell;Chevron,Encana,Royal Dutch Shell;;
Horizon Oil Sands Project;Canada;20.0;Oil&Gas;;57.1;-111.6;2008;Horizon is an oil sands project located in northeastern Alberta, Canada. It was established in 2008 and is operated by Canadian Natural Resources. The project produces bitumen, a heavy crude oil which is processed into synthetic crude oil. The development of Horizon has been important for Canada's oil and gas industry and economic growth.;Canadian Natural Resources;Canadian Natural Resources;;
Fording River;Canada;10.0;Coal;;49.6;-114.4;1971;Fording River is a metallurgical coal mine located in southeastern British Columbia, Canada. It was established in 1971 and is operated by Teck Resources. The mine produces metallurgical coal which is used in steelmaking. The development of the Fording River mine has contributed to the growth of the Canadian mining industry and the country's economy.;Teck Resources;Teck Resources;;
Athabasca Oil Sands Project;Canada;14.0;Oil&Gas;;56.8;-111.4;2003;The Athabasca Oil Sands Project (AOSP) is a large oil sands mining and upgrading operation located in northern Alberta, Canada. It was established in 2003 and is operated by Canadian Natural Resources Limited (CNRL). The project produces bitumen, a heavy crude oil, which is extracted from the oil sands using mining techniques. The bitumen is then upgraded and refined into synthetic crude oil for domestic and international markets. The development of the AOSP has contributed to the growth of the Canadian oil industry and the country's economy.;Canadian Natural Resources Limited (CNRL);Canadian Natural Resources Limited (CNRL);;
Qiyuan Coal Mine;China;17.0;Coal;New project;30.0;106.9;2012;The Qiyuan Coal Mine is a large-scale coal mine located in the eastern part of Sichuan province in China. The project was started in 2012 and is operated by the China National Coal Group Corporation (ChinaCoal). The mine is expected to produce 4.5 million tons of coal annually.;China National Coal Group Corporation (ChinaCoal);China National Coal Group Corporation (ChinaCoal);;
Pangpangta Coal Mine;China;22.0;Coal;New project;34.8;110.0;2004;The Pangpangta Coal Mine is located in the Shanxi Province of China and is owned by the Shanxi Pangpangta Group. The mine is one of the largest coal mines in the region and is estimated to produce around 48 million tons of coal per year. It has been operational since 2004, providing energy to the surrounding areas.;Shanxi Pangpangta Group;Shanxi Pangpangta Group;;
Hongqingliang Coal Mine;China;20.0;Coal;;33.3;104.5;2006;The Hongqingliang Coal Mine is a large coal mine located in the northeast of China in Jixi City, Heilongjiang Province. The mine has an estimated reserve of 7.2 billion tons of coal and produces 5 million tons of coal per year. The project was initiated in 2006 and is owned and operated by the China National Coal Group.;China National Coal Group;China National Coal Group;;
Shahaiji No.1 Coal Mine;China;12.0;Coal;;36.8;109.2;1988;The Shahaiji No.1 Coal Mine is an open-pit coal mining project located in Shanxi Province, China. The project was started in 1988 and is owned and operated by the Shanxi Coking Coal Group. The mine produces mostly low-grade coal for use in the steel industry.;Shanxi Coking Coal Group;Shanxi Coking Coal Group;;
Oil shale China;China;14.0;Oil&Gas;;34.8;108.9;2018;Oil shale China is a large-scale oil shale exploitation project located in the Shaanxi Province of China. Started in 2018, the project's objective is to tap into the estimated 6 billion metric tons of oil shale reserves in the region. The project is estimated to cost $7.5 billion and is being jointly operated by China's state-owned oil companies and private investors.;China's state-owned oil companies and private investors;China's state-owned oil companies and private investors;;
Shengli No.1 Open-Pit Coal Mine;China;16.0;Coal;New project;37.5;116.9;1992;The Shengli No.1 Open-Pit Coal Mine is located in the Shengli Coal District of the Tangshan City, Hebei Province, China. The project was initiated in 1992 and is operated by the Shengli Coal Industry Group. It is one of the biggest coal mines in the region and is estimated to produce more than 2 million tonnes of coal annually.;Shengli Coal Industry Group;Shengli Coal Industry Group;;
Halagou Coal Mine;China;13.0;Coal;;37.1;111.5;2010;The Halagou Coal Mine is located in Shanxi Province, China, and has been in operation since 2010. It is operated by Shanxi Coking Coal Group, one of the top Chinese coal producers. The mine produces high-grade coking coal, which is used in steel production. It is the largest underground coal mine in the province and one of the deepest in China.;Shanxi Coking Coal Group;Shanxi Coking Coal Group;;
Hongshuliang Coal Mine;China;10.0;Coal;New project;40.2;113.8;2006;The Hongshuliang Coal Mine is located in the Inner Mongolia Autonomous Region of northern China. It began operations in 2006, and is primarily owned by the Hongshuliang Coal Mining Company. The mine produces both bituminous and sub-bituminous coal, primarily for use in power plants in the region. The mine has an estimated reserve of 5.5 billion tons of coal.;Hongshuliang Coal Mining Company;Hongshuliang Coal Mining Company;;
Boli Coal Mine;China;20.0;Coal;New project;34.5;109.2;2005;Boli Coal Mine is located in Shanxi Province, China. It is operated by Shanxi Xishan Coal and Electricity Power Co., Ltd, a subsidiary of China National Coal Group Corporation. The mine has an annual production capacity of 1.3 million tonnes of raw coal and is estimated to have a life of around 30 years.;Shanxi Xishan Coal and Electricity Power Co.;Shanxi Xishan Coal and Electricity Power Co.;;
Yili No.4 Coal Mine;China;26.0;Coal;;42.9;88.1;2020;Yili No.4 Coal Mine is a large-scale coal mine located in Yili, Xinjiang, China. It was opened in 2020 to help meet the growing energy needs of the region. The mine has an estimated coal reserve of 3.2 billion tons, making it one of the largest coal mines in the world.;Xinjiang Yili Energy Development Group Co.;Xinjiang Yili Energy Development Group Co.;;
Daqing;China;26.0;Oil&Gas;;45.6;125.0;1959;Daqing is the largest oilfield in China and is located in the Heilongjiang Province of Northeastern China. It was discovered in 1959 and began production in 1960. Daqing is the largest oilfield in China and has an estimated 1 billion tonnes of proven oil reserves. It is operated by China National Petroleum Corporation and has an output of 1.5 million barrels of oil per day.;China National Petroleum Corporation;China National Petroleum Corporation;;
Talike District No. 2 Coal Mine;China;11.0;Coal;New project;39.4;111.8;2002;The Talike District No. 2 Coal Mine is located in Inner Mongolia, China. The mine was commissioned in 2002 and is owned by China National Coal Group Co., Ltd, the largest coal mining state-owned enterprise in Mainland China. The mine produces high-quality coking coal and is situated at an altitude of 1,100 meters above sea level.;China National Coal Group Co.;China National Coal Group Co.;;
Longmaxi Shale;China;57.0;Oil&Gas;;36.1;108.5;1980;Hongqinghe is a large open-pit coal mine located in the Shaanxi Province in northwestern China. It was established in 1980 and is operated by the Yanzhou Coal Mining Co. Ltd. The mine produces thermal coal which is used for electricity generation and other industrial purposes.;Yanzhou Coal Mining Co. Ltd.;Yanzhou Coal Mining Co. Ltd.;;
Shicaocun Coal Mine;China;15.0;Coal;;29.8;105.7;1994;Shicaocun Coal Mine is a large surface coal mining project located in Sichuan province, China. It is owned by the Sichuan Province Coal Industry Group and has an annual production capacity of 5 million tons. The project was established in 1994 and has been in operation since then.;Sichuan Province Coal Industry Group;Sichuan Province Coal Industry Group;;
Dingji Coal Mine;China;17.0;Coal;;29.1;107.9;2006;The Dingji Coal Mine is a large open-pit coal mine located in the Sichuan province of China. It is one of the largest coal mines in the region and has an annual production capacity of 6 million tonnes. The coal mine was established in 2006 and is operated by the China National Coal Group Corporation.;China National Coal Group Corporation;China National Coal Group Corporation;;
Xinjiang Hongshan Coal Mine;China;12.0;Coal;New project;;;;;;;;
Chahasu Coal Mine;China;42.0;Coal;;38.8;105.6;;The project focuses on coal production to meet the growing energy needs of China, contributing to the regional economy and energy security.;Ningxia Coal Industry Group Co.;Ningxia Coal Industry Group Co.;;
Dongzhouyao Coal Mine;China;22.0;Coal;;28.3;114.0;2009;The Dongzhouyao Coal Mine is located in Hunan Province, China. It is a large-scale coal mining project, owned by China Datang Corporation. It began operations in 2009, and has a planned production capacity of 10 million tons of coal per year.;China Datang Corporation;China Datang Corporation;;
Hongshaquan No.1 Coal Mine;China;90.0;Coal;;40.9;122.0;1972;Hongshaquan No.1 Coal Mine is an underground coal mine located in Liaoning Province, China. It was established in 1972 and is operated by the state-owned company Fushun Mining Group. The mine produces thermal coal which is primarily used for electricity generation and industrial purposes.;Fushun Mining Group;Fushun Mining Group;;
Dahaize Coal Mine;China;80.0;Coal;New project;36.5;111.6;1958;Dahaize Coal Mine is a large underground coal mine located in Shanxi Province, China. It was established in 1958 and is operated by the state-owned company Datong Coal Mine Group. The mine produces thermal coal which is primarily used for electricity generation and industrial purposes.;Datong Coal Mine Group;Datong Coal Mine Group;;
Chagannur No.1 Coal Mine;China;17.0;Coal;New project;39.9;123.8;2018;Chagannur No.1 Coal Mine is a large-scale coal mining project located in China's Heilongjiang Province. The project involves the excavation of 1.97 million tons of coal per year and the construction of a coal washing plant with a capacity of 2.4 million tons of coal per year. The mine is expected to create an additional 3,000 jobs in the region.;China Coal Corporation;China Coal Corporation;;
Guojiatan Coal Mine;China;22.0;Coal;New project;40.7;113.8;2001;Guojiatan Coal Mine is a coal mine located in the Inner Mongolia Autonomous Region of China. It is one of the largest coal mines in the world, with an estimated annual production of over 30 million tonnes of coal. The mine has been in operation since 2001 and is owned by the China Shenhua Energy Company.;China Shenhua Energy Company;China Shenhua Energy Company;;
Xiaojihan Coal Mine;China;46.0;Coal;;36.3;104.1;2003;The project focuses on coal exploitation to meet China's increasing energy demand. The mine has rich coal reserves and contributes to the regional economy.;Gansu Jinchuan Group Co.;Gansu Jinchuan Group Co.;;
Southeast Uplift Onshore Heilongjiang Province;China;18.0;Oil&Gas;New project;45.0;132.8;2014;The Southeast Uplift Onshore Heilongjiang Province project is a large-scale oil and gas exploration project located in the Heilongjiang Province in China. The project was initiated in 2014 as part of the Chinese government's efforts to increase energy supply and reduce dependence on foreign imports. The project has been successful in increasing energy supply and has significantly increased gas production in the area.;China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);;
