sheet_name;column_name;definition;sources
gasoil_project_data;list_of_company_involved;list of parent companies involved in the project, and an intervall of the percentage they own in the project.;Global Energy Monitor, Calculation made by Reclaim Finance using Rystad's participation breakdown
gasoil_project_data;fuel_type;can take two values : oil and gas or coal.;
gasoil_project_data;2020_2025_past_emissions;Calculated emissions from cumulated past oil and gas production from 2021 to 2024;Calculation made by Reclaim Finance using Rystad database
company_data;company;Name of the company;Global Oil and Gas Exit List, Global Energy Monitor, Rystad
company_data;headquarter_country;Address of the company headquarters.;BOCC
company_data;latitude;Latitude of the company headquarters.;BOCC
company_data;longitude;Longitude of the company headquarters.;BOCC
company_data;world_region;"List of carbon bombs connected. Multpiple values are separated by a "";""";GEM, Rystad
bank_data;bank_name;Name of the bank;BOCC
bank_data;bank_website;Url of the bank website;BOCC
bank_data;headquarters_address;Headquarters address of the bank;BOCC
bank_data;headquarters_country;Country of the bank's headquarters;BOCC
bank_data;ceo_name;Bank's Chief Executive Officer;BOCC
bank_data;board_description;Url of the board description;BOCC
bank_data;supervisor_name;Supervisor name of the bank;BOCC
bank_data;supervisor_website;Url of the bank's supervisor;BOCC
bank_data;shareholder_structure_source;Url of the bank's shareholder structure;BOCC
bank_data;source_banktrack;Banktrack's url;BOCC
bank_data;latitude;Latitude of the headquarters address;BOCC
bank_data;longitude;Longitude of the headquarters address;BOCC
bank_data;Bank logo;Url of the bank's logo;BOCC
bank_data;World Region;World Region of the country's bank;BOCC
connection_bank_company;bank;Name of the bank financing a company.;BOCC
connection_bank_company;company;Name of the company;BOCC
connection_bank_company;2021;Adjusted amount of money allocated to the company from the bank in 2021 in millions USD;BOCC
connection_bank_company;2022;Adjusted amount of money allocated to the company from the bank in 2022 in millions USD;BOCC
connection_bank_company;2023;Adjusted amount of money allocated to the company from the bank in 2023 in millions USD;BOCC
connection_bank_company;2024;Adjusted amount of money allocated to the company from the bank in 2024 in millions USD;BOCC
connection_project_company;project_name;Name of the project;GEM, Rystad
connection_project_company;company;Company name of companies involved in each specific project;GEM, Rystad
connection_project_company;gogel_id;Company's ID in the Global Oil and Gas Exit List;BOCC
connection_project_company;involvement_interval;Intervall percentage of detention of the project;GEM, Rystad
connection_project_company;project_type;two project type possible : new extraction project, carbon bomb.;Rystad, GEM, Urgevald
connection_project_company;fuel_type;two fuel type possible : oil & gas or coal.;
lng_data;project_name;Name of the project;Global Oil and Gas Exit List
lng_data;export_capacity_in_mtpa;Liquefaction capacity of the project in million tons per annum;Global Oil and Gas Exit List
lng_data;project_status;Project's development status: commissioning, under construction or proposed;Global Oil and Gas Exit List
lng_data;country;Location of the project;Global Oil and Gas Exit List
lng_data;companies_involved;Company names of companies involved in each specific project;Global Oil and Gas Exit List
lng_data;latitude;Location of the project;Global Energy Monitor
lng_data;longitude;Location of the project;Global Energy Monitor
country_data;country;countries in which projects are located.;Rystad, GEM, Global Oil and Gas Exit List
country_data;Emissions_per_capita_tons_CO2;Emissions per capita (metric tons of CO2);UNData
country_data;Year_Emissions_per_capita_tons_CO2;Source year of emissions per capita;UNData
country_data;Emissions_thousand_tons_CO2;Country emissions (thousand metric tons of CO2);UNData
country_data;Year_Emissions_thousand_tons_CO2;Source year of country emissions;UNData
country_data;GDP_millions_US_dollars;GDP in current prices (millions of USD);UNData
country_data;Year_GDP_millions_US_dollars;Source year of GDP in current prices;UNData
country_data;GDP_per_capita_US_dollars;GDP per capita (USD);UNData
country_data;Year_GDP_per_capita_US_dollars;Source year of GDP per capita;UNData
country_data;Population_in_millions;Population mid-year estimates (millions);UNData
country_data;Year_Population_in_millions;Source year of population mid-year estimates;UNData
country_data;Surface_thousand_km2;Surface area (thousand km2);UNData
country_data;Year_Surface_thousand_km2;Source year of surface area;UNData
