Bank Name,Bank Website,Headquarters address,Headquarters country,CEO Name,Board description,Supervisor Name,Supervisor Website,Shareholder structure source,Source BankTrack,Latitude,Longitude,Bank logo,World Region
CaixaBank,http://www.caixabank.com,"Avda Diagonal 621-629,08028 Barcelona",Spain,Mr. Gonzalo Gortázar Rotaeche,https://www.caixabank.com/en/shareholders-investors/corporate-governance/board-directors.html,Banco de España,http://www.bde.es/homee.htm,https://www.criteriacaixa.com/home/home_en.html,https://www.banktrack.org/bank/CaixaBank,41.3876195,2.1266636,https://www.banktrack.org/thumbimage.php?image=caixabanklogo_crop.png&amp,Europe
CIBC,https://www.cibc.com/en/,"Commerce Court,M5L 1A2 Toronto",Canada,Victor G. Dodig,https://www.cibc.com/en/about-cibc/corporate-profile/executive-team/victor-dodig.html,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=CM&subView=institutional,https://www.banktrack.org/bank/cibc,43.6481326,-79.37950889999999,https://www.banktrack.org/thumbimage.php?image=cibc-logo-749061_0.jpg&amp,North America
China CITIC Bank,http://www.citicbank.com,"Fuhua Mansion Block C, No. 8 Choayangmen Beidajie, Dongcheng District,100027 Beijing",China,Fang Heying,http://www.citicbank.com/about/survey_1/about_SeniorManagement/,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-CITIC-BANK-CORPORAT-6499609/company/,https://www.banktrack.org/bank/china_citic_bank,39.9515199,116.40108,https://www.banktrack.org/thumbimage.php?image=china_citic_bank final.jpg&amp,Asia
China Construction Bank,http://en.ccb.com/en/home/indexv3.html,"25 Finance Street, Xicheng District,Beijing",China,Tian Guoli,http://en.ccb.com/en/investorv3/biographiesofdirectors/biogofdirectors.html?ptId=2&ctId=3>Id=2,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNCDk_3D9KHxKwCGAV4EJTAE-P4AV4HFkQW5oaGiEQaZnuqIiAF07oL0!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.banktrack.org/bank/china_construction_bank,39.90710989999999,116.37415,https://www.banktrack.org/thumbimage.php?image=china construction bank_0.jpg&amp,Asia
China Everbright Bank,http://www.cebbank.com,"China Everbright Center, 25 Taipingqiao Avenue,Xicheng District, Beijing",China,Wang Jiang,http://www.cebbank.com/site/ceb_homepage33/investor_relations3/corporate_governance8/board_of_directors60/index.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-EVERBRIGHT-BANK-COM-6588153/company/,https://www.banktrack.org/bank/china_everbright_bank,39.91756600000001,116.36433,https://www.banktrack.org/thumbimage.php?image=logo_21.jpg&amp,Asia
China Merchants Bank,http://english.cmbchina.com/,"China Merchants Bank Tower, No 7088, Shennan Boulevard,518040 Shenzhen",China,Miao Jianmin,http://english.cmbchina.com/CmbInfo/About/DetailInfo.aspx?guid=9f94ec0e-c264-496d-81d4-e39543da6f3e,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-MERCHANTS-BANK-CO--6495751/company/,https://www.banktrack.org/bank/china_merchants_bank,22.5367764,114.0225421,https://www.banktrack.org/thumbimage.php?image=210118_logocmb_2_crop.png&amp,Asia
China Minsheng Bank,http://en.cmbc.com.cn/,"2 Fuxingmen Nei Street, Xicheng District,100031 Beijing",China,Zheng Wanchun,http://en.cmbc.com.cn/CMBCToday/AboutCMBC/ManagementTeam/index.htm,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-MINSHENG-BANKING-CO-6493874/company/,https://www.banktrack.org/bank/china_minsheng_bank,39.90713,116.3724,https://www.banktrack.org/thumbimage.php?image=210119_logochinaminshengbank_crop.png&amp,Asia
Citi,http://www.citigroup.com,"388 Greenwich Street,10013 New York",United States,Jane Fraser,https://www.citigroup.com/citi/about/leaders/jane-fraser-bio.html,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=C&subView=institutional,https://www.banktrack.org/bank/citi,40.72067819999999,-74.0111516,https://www.banktrack.org/thumbimage.php?image=291476910_5160382317360617_1465398894783742317_n_crop.jpg&amp,North America
Commerzbank,https://www.commerzbank.com/,"Kaiserplatz,60261 Frankfurt am Main",Germany,Manfred Knof,https://www.commerzbank.com/en/hauptnavigation/konzern/management_1/vorstand/index.html,Bundesbank,http://www.bundesbank.de/,https://www.commerzbank.com/en/hauptnavigation/aktionaere/aktie/aktionaersstruktur/aktionaere.html,https://www.banktrack.org/bank/commerzbank,50.1109221,8.6821267,https://www.banktrack.org/thumbimage.php?image=commerzbank_logo_crop.png&amp,Europe
Commonwealth Bank,http://www.commbank.com.au,"11 Harbour Street,NSW 2000 Sydney",Australia,Matt Comyn,https://www.commbank.com.au/about-us/our-company/management/matt-comyn.html,Reserve Bank of Australia,http://www.rba.gov.au/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=CMWAY&subView=institutional,https://www.banktrack.org/bank/commonwealth_bank,-33.8750672,151.2029098,https://www.banktrack.org/thumbimage.php?image=commonwealthbanklogo_crop.jpg&amp,Oceania
Credit Suisse,http://www.credit-suisse.com,"Paradeplatz 8,8070 Zurich",Switzerland,Ulrich Körner,https://www.credit-suisse.com/about-us/en/our-company/our-management/executive-board.html,FINMA,http://www.finma.ch/e/pages/default.aspx,https://www.marketscreener.com/quote/stock/CREDIT-SUISSE-GROUP-AG-9364979/company/,https://www.banktrack.org/bank/credit_suisse,47.3699337,8.538648199999999,https://www.banktrack.org/thumbimage.php?image=credit_suisse_logo_svg_crop.png&amp,Europe
Crédit Agricole,http://www.credit-agricole.com/en,"114, avenue de la République,92120 Montrouge",France,Philippe Brassac,https://www.credit-agricole.com/en/group/governance,Banque de France,http://www.banque-france.fr/,None,https://www.banktrack.org/bank/credit_agricole,48.8138775,2.3163947,https://www.banktrack.org/thumbimage.php?image=creditagricolelogo_2017_1.jpg&amp,Europe
DZ Bank,http://www.dzbank.com/,"Platz der Republik,60265 Frankfurt am Main Hessen",Germany,Uwe Fröhlich and Cornelius Riese,https://www.dzbank.com/content/dzbank/en/home/dz-bank/profile/corporate-management/board-of-managingdirectors.html,Federal Financial Supervisory Authority (BaFin),http://www.bafin.de,https://www.dzbank.com/content/dzbank/en/home/dz-bank/profile.html,https://www.banktrack.org/bank/dz_bank,50.1097299,8.6605531,https://www.banktrack.org/thumbimage.php?image=logo_6.png&amp,Europe
Danske Bank,http://www.danskebank.com,"Holmens Kanal 2-12,1092 Copenhagen",Denmark,Carsten Egeriis,https://danskebank.com/about-us/management,Danish FSA,http://www.finanstilsynet.dk/en.aspx,https://www.marketscreener.com/quote/stock/DANSKE-BANK-A-S-1412871/company/,https://www.banktrack.org/bank/danske_bank,55.6780883,12.5854902,https://www.banktrack.org/thumbimage.php?image=Danske Bank_logo.jpg&amp,Europe
Deutsche Bank,http://www.db.com,"Taunusanlage 12,60325 Frankfurt am Main",Germany,Christian Sewing,https://www.db.com/who-we-are/boards-and-committees/management-board,None,None,https://www.db.com/ir/en/shareholder-structure.htm,https://www.banktrack.org/bank/deutsche_bank,50.113816,8.6681872,https://www.banktrack.org/thumbimage.php?image=2000pxdeutsche_banklogo_svg_crop.png&amp,Europe
Goldman Sachs,http://www.goldmansachs.com/,"200 West Street,10282 New York",United States,David M. Solomon,https://www.goldmansachs.com/our-firm/leadership/board-of-directors/david-m-solomon.html,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=GS&subView=institutional,https://www.banktrack.org/bank/goldman_sachs,40.7148544,-74.0144968,https://www.banktrack.org/thumbimage.php?image=2000pxgoldman_sachs_svg_crop.png&amp,North America
HSBC,http://www.hsbc.com,"8 Canada Square,E14 5 HQ London",United Kingdom,Noel Quinn,https://www.hsbc.com/who-we-are/leadership/noel-quinn,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/HSBC-HOLDINGS-4001224/company/,https://www.banktrack.org/bank/hsbc,51.5055312,-0.0174223,https://www.banktrack.org/thumbimage.php?image=logo_hsbc.png&amp,Europe
ING,https://www.ing.com/Home.htm,"Bijlmerdreef 106,1102 CT Amsterdam",Netherlands,Steven van Rijswijk,https://www.ing.com/about-us/corporate-governance/management-board-banking/steven-van-rijswijk.htm,De Nederlandsche Bank,http://www.dnb.nl,https://www.marketscreener.com/quote/stock/ING-GROEP-N-V-56358303/company/,https://www.banktrack.org/bank/ing,52.3152336,4.9498692,https://www.banktrack.org/thumbimage.php?image=ING_RGB_colour.jpg&amp,Europe
Industrial Bank,https://www.cib.com.cn/en/,"154 Hudong Road,350003 Fuzhou, Fujian",China,Tao Yiping,https://www.cib.com.cn/en/aboutCIB/investor/profile/director.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.cib.com.cn/en/aboutCIB/investor/stock/,https://www.banktrack.org/bank/industrial_bank,26.09247,119.29794,https://www.banktrack.org/thumbimage.php?image=cib_logo.jpg&amp,Asia
ICBC,http://www.icbc-ltd.com/ICBCLtd/en/,"55 Fuxingmennei Avenue, Xicheng District,10032 Beijing",China,Chen Siqing,http://www.icbc-ltd.com/ICBCLtd/Corporate%20Governance/Board%20of%20Directors/Board%20of%20Directors/,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNCDk_3D9KHxKwCGAV4EJTAE-P4AV4HFkQW5oaGiEQaZnuqIiAF07oL0!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.banktrack.org/bank/industrial_commercial_bank_of_china,39.9073,116.36566,https://www.banktrack.org/thumbimage.php?image=logoicbc_crop.png&amp,Asia
Intesa Sanpaolo,https://www.group.intesasanpaolo.com,"Piazza San Carlo, 156,10121 Torino",Italy,Carlo Messina,https://group.intesasanpaolo.com/en/about-us/top-management-biographies,Banca d'Italia,http://www.bancaditalia.it/,https://www.group.intesasanpaolo.com/scriptIsir0/si09/chi_siamo/eng_azionariato.jsp#/chi_siamo/eng_azionariato.jsp,https://www.banktrack.org/bank/intesa_sanpaolo,45.0683488,7.6823479,https://www.banktrack.org/thumbimage.php?image=1376801560815565515_1376801560815565515_2_crop.png&amp,Europe
JPMorgan Chase,http://www.jpmorganchase.com,"270 Park Avenue,10017-2070 New York",United States,Jamie Dimon,https://www.jpmorganchase.com/corporate/About-JPMC/ab-board-bio-jamesdimon.htm,Federal Reserve,http://www.federalreserve.gov/,https://www.marketscreener.com/JPMORGAN-CHASE-4831/company/,https://www.banktrack.org/bank/jpmorgan_chase,40.7558818,-73.9755845,https://www.banktrack.org/thumbimage.php?image=JPmorgan_0.jpg&amp,North America
KB Financial,http://www.kbfg.com,"26, Gukjegeumyung-ro 8-gil, Yeongdeungpo-gu,Seoul",South Korea,Jong Kyoo Yoon,https://www.kbfg.com/Eng/about/management.htm,Financial Supervisory Service (South Korea),http://english.fss.or.kr/fss/eng/main.jsp,https://www.marketscreener.com/quote/stock/KB-FINANCIAL-GROUP-INC-6500331/company/,https://www.banktrack.org/bank/kb_financial_group,37.5208742,126.9278871,https://www.banktrack.org/thumbimage.php?image=210209_piclogokbfinancial_crop.png&amp,Asia
Lloyds,http://www.lloydsbankinggroup.com,"25 Gresham Street,EC2V 7HN London",United Kingdom,Charlie Nunn,https://www.lloydsbankinggroup.com/who-we-are/group-overview/directors-and-governance/charlie-nunn.html,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/LLOYDS-BANKING-GROUP-4000786/company/,https://www.banktrack.org/bank/lloyds_banking_group_plc,51.5163653,-0.0954984,https://www.banktrack.org/thumbimage.php?image=lloydsLBG_hl_fc_p_c.jpg&amp,Europe
MUFG,http://www.bk.mufg.jp/global/,"7-1 Marunouchi 2-Chome Chiyoda,100-0005  Tokyo",Japan,Junichi Hanzawa,http://www.bk.mufg.jp/global/aboutus/management.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.marketscreener.com/MITSUBISHI-UFJ-FINANCIAL-6492551/company/,https://www.banktrack.org/bank/bank_of_tokyo_mitsubishi_ufj,35.6800538,139.7630222,https://www.banktrack.org/thumbimage.php?image=logo_mitsubishi_ufj_financial_group_crop.svg&amp,Asia
Mizuho,https://www.mizuho-fg.com/index.html,"1–5–5, Otemachi, Chiyoda–ku 100–8176,Tokyo",Japan,Masahiro Kihara,https://www.mizuho-fg.com/company/info/executives/index.html,Financial Service Agency (Japan),http://www.fsa.go.jp/en/index.html,https://www.marketscreener.com/MIZUHO-FINANCIAL-GROUP-I-6496086/company/,https://www.banktrack.org/bank/mizuho,35.6854417,139.7653698,https://www.banktrack.org/thumbimage.php?image=mizuho_logo_high_res_small.jpg&amp,Asia
Morgan Stanley,http://www.morganstanley.com/,"1585 Broadway,NY 10036 New York",United States,Mr. James Gorman,http://www.morganstanley.com/about-us-governance/board.html,Federal Reserve,http://www.federalreserve.gov/,https://www.marketscreener.com/MORGAN-STANLEY-13654/company/,https://www.banktrack.org/bank/morgan_stanley,40.7600547,-73.9855324,https://www.banktrack.org/thumbimage.php?image=190625_morganstanleynewlogojune2019_1_crop.png&amp,North America
NatWest,https://www.natwestgroup.com/,"Gogarburn 175 Glasgow Road,EH12 1HQ  Edinburgh Scotland",United Kingdom,Paul Thwaite,https://www.natwestgroup.com/who-we-are/board-and-governance/executive-management-team/paul-thwaite.html,Bank of England,http://www.bankofengland.co.uk/,https://investors.natwestgroup.com/share-data/equity-ownership-statistics,https://www.banktrack.org/bank/natwest,55.9352996,-3.3326296,https://www.banktrack.org/thumbimage.php?image=logo_natwest_group_crop.png&amp,Europe
NAB,https://www.nab.com.au/,"800 Bourke St W, Docklands Victoria,3008 Melbourne",Australia,Ross McEwan,https://www.nab.com.au/about-us/board-of-directors/ross-mcewan,Reserve Bank of Australia,http://www.rba.gov.au/,https://www.marketscreener.com/NATIONAL-AUSTRALIA-BANK-L-6493174/company/,https://www.banktrack.org/bank/national_australia_bank_group,-37.8194,144.9446995,https://www.banktrack.org/thumbimage.php?image=NAB.jpg&amp,Oceania
BPCE/Natixis,http://www.natixis.com/,"30, avenue Pierre Mendès France,75013 Paris",France,Nicolas Namias,https://www.natixis.com/natixis/jcms/ala_5373/en/senior-management,Banque de France,http://www.banque-france.fr/,https://groupebpce.com/en/the-group/organization,https://www.banktrack.org/bank/natixis,48.8386969,2.3705741,https://www.banktrack.org/thumbimage.php?image=Natixis logo2.jpg&amp,Europe
Nordea Bank,http://www.nordea.com,"Satamaradankatu 5,FI-00020 Helsinki",Finland,Frank Vang-Jensen,http://www.nordea.com/en/press-and-news/press-photos/group-ceo/,Finnish Financial Supervisory Authority,http://www.finanssivalvonta.fi,https://www.nordea.com/en/investor-relations/share/shareholders/,https://www.banktrack.org/bank/nordea,60.1903799,24.954886,https://www.banktrack.org/thumbimage.php?image=Nordea Logo.JPG&amp,Europe
PNC,https://www.pnc.com/,"249 Fifth Avenue, One PNC Plaza,PA 15222 Pittsburgh",United States,William S. Demchak,https://www.pnc.com/en/about-pnc/company-profile/leadership-team.html?lnksrc=topnav,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=PNC&subView=institutional,https://www.banktrack.org/bank/pnc,40.4412936,-80.0004871,https://www.banktrack.org/thumbimage.php?image=PNClogo.gif&amp,North America
Ping An Insurance Group,http://bank.pingan.com/en/index.shtml,"No. 5047 Shennan East Road Luohu District Shenzhen,518001 Guangdong",China,Yue Fei Hu,https://group.pingan.com/about_us/our_leadership.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/PING-AN-BANK-CO-LTD-6495775/company/,https://www.banktrack.org/bank/ping_an_bank,22.54495,114.12911,https://www.banktrack.org/thumbimage.php?image=Ping_An_Bank_Logo.svg.png&amp,Asia
Postal Savings Bank of China,http://www.psbc.com/cn/index.html,"No. 131 Xuanwumen West Street, Xicheng District,100808 Beijing",China,None,None,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/POSTAL-SAVINGS-BANK-OF-CH-31587274/company/,https://www.banktrack.org/bank/postal_savings_bank_of_china,39.8991324,116.3621958,https://www.banktrack.org/thumbimage.php?image=210111_psbclogo_crop.png&amp,Asia
Rabobank,http://www.rabobank.nl,"Croeselaan 18,3521 CB Utrecht",Netherlands,Stefaan Decraene,https://www.rabobank.nl/over-ons/organisatie/onze-mensen/groepsdirectie/stefaan-decraene,De Nederlandsche Bank,http://www.dnb.nl,https://www.rabobank.com/nl/about-rabobank/cooperative/in-practice/index.html,https://www.banktrack.org/bank/rabobank,52.0864215,5.1092184,https://www.banktrack.org/thumbimage.php?image=rabobanklogo_crop.jpg&amp,Europe
RBC,http://www.rbc.com,"200 Bay Street,ON  M5J 2J5 Toronto",Canada,David I. McKay,https://www.rbc.com/newsroom/news/executive-biographies/dave-mckay.html,Superintendent of Financial Institutions (OSFI),http://www.osfi-bsif.gc.ca/,https://www.marketscreener.com/ROYAL-BANK-OF-CANADA-1411559/company/,https://www.banktrack.org/bank/rbc,43.6465177,-79.3800808,https://www.banktrack.org/thumbimage.php?image=RBC-LOGO-NEW_0.jpg&amp,North America
Scotiabank,http://www.scotiabank.com,"44 King St. W.,M5H 1H1 Toronto",Canada,Brian J. Porter,"http://www.scotiabank.com/ca/en/0,,532,00.html",Superintendent of Financial Institutions (OSFI),http://www.osfi-bsif.gc.ca/,https://www.marketscreener.com/BANK-OF-NOVA-SCOTIA-1409234/company/,https://www.banktrack.org/bank/scotiabank,43.6488253,-79.37999959999999,https://www.banktrack.org/thumbimage.php?image=scotiabank_logo_crop.jpg&amp,North America
Shanghai Pudong Development Bank,http://www.spdb.com.cn,"NO.12 Zhongshan Dong Yi Road,200002 Shanghai",China,Wei Dong Pan,https://www.bloomberg.com/profile/person/16423667,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/SHANGHAI-PUDONG-DEVELOPME-6495772/company/,https://www.banktrack.org/bank/shanghai_pudong_development_bank,31.230416,121.473701,https://www.banktrack.org/thumbimage.php?image=Shanghai Pudong Development Bank.JPG&amp,Asia
Société Générale,http://www.societegenerale.com/,"29, boulevard Haussmann,75009 Paris",France,Frédéric Oudéa,https://www.societegenerale.com/en/societe-generale-group/governance/board-of-directors,Banque de France,http://www.banque-france.fr/,https://www.societegenerale.com/en/measuring-our-performance/information-and-publications/share-capital,https://www.banktrack.org/bank/societe_generale,48.8728288,2.3323932,https://www.banktrack.org/thumbimage.php?image=societe-generale-logo new.jpg&amp,Europe
Standard Chartered,http://www.standardchartered.com,"1 Basinghall Avenue,EC2V 5DD London",United Kingdom,Bill Winters,https://www.sc.com/en/people/bill-winters/,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/STANDARD-CHARTERED-4003394/company/,https://www.banktrack.org/bank/standard_chartered,51.5162078,-0.0903527,https://www.banktrack.org/thumbimage.php?image=Standard_Chartered_logo.png&amp,Europe
State Bank of India,https://sbi.co.in/,"Central Office, 8th Fl., Madame Cama Road 400 021,Mumbai",India,Dinesh Kumar Khara,https://sbi.co.in/web/about-us/board-of-directors,None,None,https://www.marketscreener.com/quote/stock/STATE-BANK-OF-INDIA-9058834/company/,https://www.banktrack.org/bank/state_bank_of_india,27.6648274,-81.5157535,https://www.banktrack.org/thumbimage.php?image=190124_logo_state_bank_of_india_crop.png&amp,Asia
SMBC Group,http://www.smbc.co.jp/global/index.html,"1-1-2, Marunouchi, Chiyoda-ku,100-0005 Tokyo",Japan,Makoto Takashima,https://www.smbc.co.jp/global/aboutus/profile/officers_02.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.smfg.co.jp/english/investor/stock/capital_shares.html,https://www.banktrack.org/bank/sumitomo_mitsui_banking_corporation,35.68509299999999,139.7623949,https://www.banktrack.org/thumbimage.php?image=logo_sumitomo_0.jpg&amp,Asia
TD,http://www.td.com,"12th Floor, 55 King St. West,ON M5K 1A2 Toronto",Canada,Bharat Masrani,https://www.td.com/about-tdbfg/corporate-information/executive-profiles/masrani.jsp,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=TD&subView=institutional,https://www.banktrack.org/bank/td_bank_financial_group,43.64821500000001,-79.3807846,https://www.banktrack.org/thumbimage.php?image=td-logo.jpg&amp,North America
US Bancorp,https://www.usbank.com/index.html,"800 Nicolett Mall,55402 Minneapolis",United States,Andrew J. Cecere,https://ir.usbank.com/management/andrew-cecere,Federal Reserve,http://www.federalreserve.gov/,https://www.nasdaq.com/symbol/usb/ownership-summary,https://www.banktrack.org/bank/us_bancorp,44.9755906,-93.2738748,https://www.banktrack.org/thumbimage.php?image=US_Bancorp.gif&amp,North America
