Carbon_Bomb_Name,Parent_Company,percentage
Tongxin Coal Mine,Jinneng Group (45.62%),62
Tongxin Coal Mine,China Energy,30
Tongxin Coal Mine,China Cinda Asset Management Company (21.08%),08
Tongxin Coal Mine,Others(3.3%),3
Xiwan Surface Coal Mine,China Energy,51
Xiwan Surface Coal Mine,Shaanxi Yanchang Petroleum and Mining Company,49
Zhangjiamao Coal Mine,Shaanxi Coal and Chemical Industry Group,35
Zhangjiamao Coal Mine,Shenmu State-Owned Assets Operation Company,45
Zhangjiamao Coal Mine,Others,20
Liuzhuang Coal Mine,China Coal,30
Liuzhuang Coal Mine,China Energy,7
Liuzhuang Coal Mine,Anhui Xinji Coal and Electricity Group,7
Liuzhuang Coal Mine,Others,55
Menkeqing Coal Mine,China Coal,38
Menkeqing Coal Mine,Sinopec,38
Menkeqing Coal Mine,Shenergy,13
Menkeqing Coal Mine,Manshi Group,10
Menkeqing Coal Mine,Others,1
Meihuajing Coal Mine,China Energy,51
Meihuajing Coal Mine,Ningxia State-Owned Capital Operation Group,49
Shigetai Coal Mine,China Energy,69
Shigetai Coal Mine,HKSCC Nominees Limited,17
Shigetai Coal Mine,Others,14
Yangchangwan No.1 Well Coal Mine,China Energy,51
Yangchangwan No.1 Well Coal Mine,Ningxia State-Owned Capital Operation Group,49
Zhangji Coal Mine,Huaihe Energy,83
Zhangji Coal Mine,China Cinda Asset Management Company,8
Zhangji Coal Mine,China Energy,3
Zhangji Coal Mine,Others,6
Hulusu Coal Mine,China Coal,38
Hulusu Coal Mine,Sinopec,38
Hulusu Coal Mine,Shenergy,13
Hulusu Coal Mine,Manshi Group,10
Hulusu Coal Mine,Others,1
Baode Coal Mine,China Energy,69
Baode Coal Mine,HKSCC Nominees Limited,17
Baode Coal Mine,Others,14
Tashan Coal Mine,Jinneng Group,41
Tashan Coal Mine,China Datang,9
Tashan Coal Mine,HKSCC Nominees Limited,9
Tashan Coal Mine,Others,41
Hongqinghe Coal Mine,Inner Mongolia Yitai Investment,90
Hongqinghe Coal Mine,Inner Mongolia Guanglian Minzu Economic Development Company,5
Hongqinghe Coal Mine,Inner Mongolia Coal Field Geological Bureau,5
Xiaobaodang No.1 Coal Mine,Shaanxi Coal and Chemical Industry Group,55
Xiaobaodang No.1 Coal Mine,Shaanxi Investment Group,28
Xiaobaodang No.1 Coal Mine,Others,17
Hongliulin Coal Mine,Shaanxi Coal and Chemical Industry Group,32
Hongliulin Coal Mine,Shenmu County State-Owned Assets Operation Company,24
Hongliulin Coal Mine,Shaanxi Yulin Energy Group,25
Hongliulin Coal Mine,China Development Bank,19
Buliangou Coal Mine,Inner Mongolia Mengtai Group,49
Buliangou Coal Mine,China Huadian,35
Buliangou Coal Mine,Others,16
Huojitu Well Of Daliuta Coal Mine,China Energy,69
Huojitu Well Of Daliuta Coal Mine,HKSCC Nominees Limited,17
Huojitu Well Of Daliuta Coal Mine,Others,14
Shangwan Coal Mine,China Energy,69
Shangwan Coal Mine,HKSCC Nominees Limited,17
Shangwan Coal Mine,Others,14
Halagou Coal Mine,China Energy,69
Halagou Coal Mine,HKSCC Nominees Limited,17
Halagou Coal Mine,Others,14
Ningtiaota Coal Mine,Shaanxi Coal and Chemical Industry Group,32
Ningtiaota Coal Mine,Yulin State-Owned Capital Operation and Management Company,25
Ningtiaota Coal Mine,Shenmu City State-Owned Assets Operation Company,24
Ningtiaota Coal Mine,Others,19
Jinjie Coal Mine,China Energy,49
Jinjie Coal Mine,State Grid Corporation of China,30
Jinjie Coal Mine,Others,21
Suancigou Coal Mine,Inner Mongolia Yitai Group,52
Suancigou Coal Mine,Shanxi Yuedian Energy,24
Suancigou Coal Mine,Beijing Jingneng Power Company,24
Daliuta Coal Mine,China Energy,69
Daliuta Coal Mine,HKSCC Nominees Limited,17
Daliuta Coal Mine,Others,14
Buertai Coal Mine,China Energy,69
Buertai Coal Mine,HKSCC Nominees Limited,17
Buertai Coal Mine,Others,14
Pingshuo East Coal Mine,China Coal,57
Pingshuo East Coal Mine,HKSCC Nominees Limited,30
Pingshuo East Coal Mine,Others,13
Baiyinhua No.3 Surface Mine,State Power Investment Corporation (SPIC),43
Baiyinhua No.3 Surface Mine,Huolinhe Coal Industry Group,23
Baiyinhua No.3 Surface Mine,Industrial and Commercial Bank of China,33
Yimin Surface Coal Mine,China Huaneng,
Antaibao Surface Mine,China Coal,57
Antaibao Surface Mine,HKSCC Nominees Limited,30
Antaibao Surface Mine,Others,13
Shenhua Bulianta Coal Mine,China Energy,69
Shenhua Bulianta Coal Mine,HKSCC Nominees Limited,17
Shenhua Bulianta Coal Mine,Others,14
Anjialing Open-Pit Mine,China Coal,57
Anjialing Open-Pit Mine,HKSCC Nominees Limited,30
Anjialing Open-Pit Mine,Others,13
Shenhua Heidaigou Surface Coal Mine,China Energy,40
Shenhua Heidaigou Surface Coal Mine,China Cinda Asset Management Company,42
Shenhua Heidaigou Surface Coal Mine,Others,18
Haerwusu Surface Mine,China Energy,69
Haerwusu Surface Mine,HKSCC Nominees Limited,17
Haerwusu Surface Mine,Others,14
Shenhua Baorixile Surface Coal Mine,China Energy,39
Shenhua Baorixile Surface Coal Mine,Guangda Holding Company,17
Shenhua Baorixile Surface Coal Mine,China National Petroleum Corporation,9
Shenhua Baorixile Surface Coal Mine,Changchun Jijun Trade Company,2
Shenhua Baorixile Surface Coal Mine,Others,33
Dahaize Coal Mine,China Coal,
Jiangjun Gebi No.2 Coal Mine,Tebian Electric Apparatus (TBEA),86
Jiangjun Gebi No.2 Coal Mine,Xinjiang Joinworld Company,14
Balasu Coal Mine,Shaanxi Yanchang Petroleum Group 84%,84
Balasu Coal Mine,Others 16%,16
Baijia Haizi Coal Mine,Inner Mongolia Huineng Coal and Electricity Group,60
Baijia Haizi Coal Mine,Inner Mongolia Ordos Investment Holding Group,38
Baijia Haizi Coal Mine,Bayannaoer Zhuoyue Building Materials Company,1
Xinwen Ili No.1 Coal Mine,Shandong Energy,
Shilawusu Coal Mine,Shandong Energy,77
Shilawusu Coal Mine,Shanghai Huayi Group,19
Shilawusu Coal Mine,Jiutai Energy,2
Shilawusu Coal Mine,Jinchengtai Limited Liability Company Of Chemical Industry of Ordos City,1
Shilawusu Coal Mine,Others,1
Yingpanhao Coal Mine,Shandong Energy,82
Yingpanhao Coal Mine,Other,28
Dananhu No. 7 Coal Mine,China Reform Holdings Company,36
Dananhu No. 7 Coal Mine,China Chengtong Holdings Group,20
Dananhu No. 7 Coal Mine,China Coal,29
Dananhu No. 7 Coal Mine,China Energy,15
Zhundong Surface Mine,China Energy,
Qinghua No.7 Coal Mine,China Kingho Energy Group,
Shaanxi Caojiatan Coal Mine,Shaanxi Coal and Chemical Industry Group,51
Shaanxi Caojiatan Coal Mine,Shaanxi Financial Holding Group,23
Shaanxi Caojiatan Coal Mine,Yulin City Yuyang District Energy Investment Company,12
Shaanxi Caojiatan Coal Mine,Yulin State-Owned Asset Operation and Management Company,8
Shaanxi Caojiatan Coal Mine,Shenmu County State-Owned Asset Management Company,5
Wucaiwan No.1 Coal Mine,Beijing Guotai Xinhua Industrial Company,19
Wucaiwan No.1 Coal Mine,Xinjiang Changyuan Water Group,14
Wucaiwan No.1 Coal Mine,Xinjiang Xinhua Hydropower Investment Company,14
Wucaiwan No.1 Coal Mine,Xinjiang Energy Group,5
Wucaiwan No.1 Coal Mine,Others,42
Hetaoyu Coal Mine,China Huaneng,
Taran Gaole Coal Mine,China Energy,
Dalaihushuo Coal Mine,Jilin Province Coal Industry Group,41
Dalaihushuo Coal Mine,Tibet Hengyisheng Investment Company,39
Dalaihushuo Coal Mine,Fude Life Insurance Company,20
Dananhu West No.2 Coal Mine,China Energy,
Shitoumei No.1 Coal Mine,Xinjiang Energy Group,
Xinzhuang Coal Mine,China Huaneng,
Inner Mongolia Erlintu Coal Mine,Inner Mongolia Huineng Coal and Electricity Group,55
Inner Mongolia Erlintu Coal Mine,Shenmu Taide Energy Investment Company,17
Inner Mongolia Erlintu Coal Mine,Inner Mongolia Kaiyuan Shiye Group,10
Inner Mongolia Erlintu Coal Mine,Shendong Tianlong Group,9
Inner Mongolia Erlintu Coal Mine,Erdos Jiuyuan Investment Company,2
Inner Mongolia Erlintu Coal Mine,Others,7
Jinjitan Coal Mine,Shandong Energy,62
