Carbon_bomb_name_source_CB,Country_source_CB,World_region,Potential_GtCO2_source_CB,Fuel_type_source_CB,GEM_id_source_GEM,GEM_url_source_GEM,Latitude,Longitude,Latitude_longitude_source,Operators_source_GEM,Parent_company_source_GEM,Companies_involved_source_GEM,Multiple_unit_concerned_source_GEM,Carbon_bomb_description,Carbon_bomb_start_year,Status_source_CB,Status_source_GEM,Status_lvl_1,Status_lvl_2
Boli Coal Mine,China,Asia,2.0209497,Coal,M0184,https://www.gem.wiki/Boli_Coal_Mine,37.427284,113.576734,GEM,Yangquan Coal Industry Group Boli Coal Mine Company,Shanxi Huayang Group New Energy Company (70.0%);Shanxi Chuangrei New Energy Investment Company (30.0%),Shanxi Huayang Group New Energy Company (70.0%);Shanxi Chuangrei New Energy Investment Company (30.0%),,泊里煤矿 是一座井工煤矿，建设规模为500万吨/年。建设地点位于山西省晋中市和顺县李阳镇三奇村。,No start year available,not started,proposed,proposed,not started
Borly Coal Mines,Kazakhstan,Asia,1.02264492,Coal,M1259,https://www.gem.wiki/Molodezhny_coal_mine,50.8613763,73.6562436,GEM,Kazakhmys Coal,Kazakhmys Corporation (100.0%),Kazakhmys Corporation (100.0%),," The Molodezhny Coal Mine (разрез Молодежный) is an operating surface coal mine in Karaganda Region, Kazakhstan.",1980,operating,operating,operating,operating
Bovanenkovo Zone (Yamal Megaproject),Russia,Europe,11.15863625,Oil&Gas,OG0012037,https://www.gem.wiki/Bovanenkovskoye_Oil_and_Gas_Field_(Russia),70.49,68.078,GEM,OOO Gazprom Dobycha Nadym,Gazprom (100.0%),Gazprom (100.0%),,Bovanenkovskoye Field (Бованенковское) is an operating oil and gas field in Russia.,2012,operating,operating,operating,operating
Bowland Shale,United Kingdom,Europe,1.476082594,Oil&Gas,No informations available on GEM,No informations available on GEM,54.7023545,-3.2765753,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Bu Hasa,United Arab Emirates,Asia,4.915778525,Oil&Gas,OG0012265,https://www.gem.wiki/Bu_HasaShahAsab_Oil_and_Gas_Concession_(United_Arab_Emirates),23.451911152705115,53.253071754396544,GEM,,No informations on company (100.0%),No informations on company (100.0%),,Bu Hasa/Shah/Asab Concession is an operating oil and gas concession in the United Arab Emirates.,No start year available,operating,operating,operating,operating
Buertai Coal Mine,China,Asia,4.515258,Coal,M0186,https://www.gem.wiki/Buertai_Coal_Mine,39.495115,109.973302,GEM,China Shenhua Energy Company,China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),,中国神华能源股份有限公司布尔台煤矿位于内蒙古鄂尔多斯市伊金霍洛旗乌兰木伦镇。,No start year available,operating,operating,operating,operating
Buliangou Coal Mine,China,Asia,1.820015076,Coal,M0187,https://www.gem.wiki/Buliangou_Coal_Mine,40.012229,111.336127,GEM,Inner Mongolia Mengtai Buliangou Coal Industry Company,Inner Mongolia Mengtai Group (49.0%);China Huadian (35.0%);Others (16.0%),Inner Mongolia Mengtai Group (49.0%);China Huadian (35.0%);Others (16.0%),,不连沟煤矿 位于内蒙古自治区鄂尔多斯市准格尔旗大路镇。,No start year available,operating,operating,operating,operating
Buzios (x-Franco),Brazil,South America,3.638233141,Oil&Gas,OG0000072,https://www.gem.wiki/Búzios_Oil_and_Gas_Field_(Brazil),-24.657,-42.498,GEM,Petrobras,Petrobras (50.0%);Petróleo Brasileiro S.A. (50.0%),Petrobras (50.0%);Petróleo Brasileiro S.A. (50.0%),,Búzios Field is an operating oil and gas field in Brazil.,2015,operating,operating,operating,operating
Byerwen Coal Mine,Australia,Oceania,1.8407268,Coal,M0018,https://www.gem.wiki/Byerwen_Coal_Project,-21.242828,147.835392,GEM,Macmahon,QCoal (85.0%);JFE Steel (15.0%),QCoal (85.0%);JFE Steel (15.0%),," The Byerwen Coal Project is a surface coal mine owned by Byerwen Coal, a subsidiary of joint venture between QCoal and JFE Steel Corporation. The mine is located approximately 20 kilometers west of Glenden and 100 km south of Collinsville, Queensland, Australia.",2017,operating,operating,operating,operating
Cambrian/Silurian Marine Shale,China,Asia,2.367530441,Oil&Gas,No informations available on GEM,No informations available on GEM,34.92453785896824,105.09349049942207,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Campos Offshore,Brazil,South America,1.560951299,Oil&Gas,No informations available on GEM,No informations available on GEM,-10.26530254614122,-53.29821683433295,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Candeias Shale,Brazil,South America,1.641797865,Oil&Gas,OG0000092,https://www.gem.wiki/Candeias_Oil_and_Gas_Field_(Brazil),-12.715,-38.542,GEM,Petrobras,Petrobras (50.0%);Petróleo Brasileiro S.A. (50.0%),Petrobras (50.0%);Petróleo Brasileiro S.A. (50.0%),,Candeias Field is an operating oil and gas field in Brazil.,1941,not started,operating,operating,operating
Carboniferous Shale,Kazakhstan,Asia,1.287218515,Oil&Gas,No informations available on GEM,No informations available on GEM,48.1012954,66.7780818,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Carmichael Coal Project,Australia,Oceania,2.1068964,Coal,M0023,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722,GEM,Adani Mining,Adani Group (100.0%),Adani Group (100.0%),,"The Carmichael Coal Project (also known as the Adani mine), is a proposed coal mine, set for operation by Adani Mining, a subsidiary of the Adani Group, located 160 kilometres to the north-west of Clermont in the Galilee Basin of Central Queensland, Australia. ",2021,not started,operating,operating,operating
Central Arabian Offshore,Bahrain,Asia,1.411444785,Oil&Gas,No informations available on GEM,No informations available on GEM,26.1551249,50.5344606,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Arabian Offshore,Iran,Asia,2.122142874,Oil&Gas,No informations available on GEM,No informations available on GEM,32.55100586927358,54.63644559242522,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Arabian Offshore,Saudi Arabia,Asia,6.860051661,Oil&Gas,No informations available on GEM,No informations available on GEM,25.58261080521296,42.360992218040025,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Arabian Onshore,Iraq,Asia,2.607423632,Oil&Gas,No informations available on GEM,No informations available on GEM,33.0955793,44.1749775,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Arabian Onshore,Kuwait,Asia,3.597522951,Oil&Gas,No informations available on GEM,No informations available on GEM,29.280800865173408,47.54719936938189,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Arabian Onshore,Qatar,Asia,2.217231619,Oil&Gas,No informations available on GEM,No informations available on GEM,25.3809198925162,51.32236135625877,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Arabian Onshore,Saudi Arabia,Asia,4.359973713,Oil&Gas,No informations available on GEM,No informations available on GEM,25.656062147497185,42.28263611227423,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Central Uplift Onshore Xinjiang Uygur Autonomous Region,China,Asia,1.04432647,Oil&Gas,No informations available on GEM,No informations available on GEM,34.91059126495723,104.98384619485824,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Cerrejón Coal Mine,Colombia,South America,2.40895116,Coal,M0440,https://www.gem.wiki/Cerrejon_coal_mine,11.033968,-72.662926,GEM,Cerrejón Coal Company,Glencore (100.0%),Glencore (100.0%),,"Cerrejón coal mine or minera del Cerrejón is a surface mine, owned by the Cerrejón Coal Company, a subsidiary of Glencore, near the village of Albania in the La Guajira department of Colombia. ",1985,operating,operating,operating,operating
Chagannur No.1 Coal Mine,China,Asia,1.73650512,Coal,M0189,https://www.gem.wiki/Chagannur_No.1_coal_mine,43.553884,115.167883,GEM,Xilingol Fengfeng Energy Company,Jizhong Energy Group (48.0%);China Huarong Asset Management Company (2.0%);China Energy Investment Corporation (49.0%);Others (1.0%),Jizhong Energy Group (48.0%);China Huarong Asset Management Company (2.0%);China Energy Investment Corporation (49.0%);Others (1.0%),,"查干淖尔一号井,建设地点位于内蒙古自治区锡林郭勒盟阿巴嘎旗，矿井建设规模500万吨/年。",No start year available,not started,proposed,proposed,not started
Chahasu Coal Mine,China,Asia,4.208464524,Coal,M0190,https://www.gem.wiki/Chahasu_mine,39.302564,109.965281,GEM,Guodian & Jiantou Inner Mongolia Energy Investment Company,China Energy (50.0%);Hebei Construction & Investment Group (50.0%),China Energy (50.0%);Hebei Construction & Investment Group (50.0%),,察哈素煤矿 矿井设计规模为1000万吨／年，位于内蒙古鄂尔多斯，是由中国国电集团和河北建设投资公司共同投资建设的煤电一体化项目。,No start year available,operating,operating,operating,operating
Changcheng No.3 Coal Mine,China,Asia,1.12311012,Coal,M0192,https://www.gem.wiki/Changcheng_No.3_coal_mine,38.369137,106.57545,GEM,Otog Front Banner Changcheng No.3 Mining Company,Shandong Energy (43.0%);State Grid Company (10.0%);China Huadian Group (16.0%);Others (1.0%),Shandong Energy (43.0%);State Grid Company (10.0%);China Huadian Group (16.0%);Others (1.0%),,"长城三号煤矿 又称""沙章图井田""， 建设地点位于内蒙古鄂尔多斯市鄂托克前旗境内，矿井建设规模为500万吨/年。",No start year available,not started,proposed,proposed,not started
Changqing,China,Asia,4.939920283,Oil&Gas,OG0010879,https://www.gem.wiki/Changqing_Oil_Field_(China),37.4467,106.6668,GEM,CNPC,No informations on company (100.0%),CNPC (100.0%),,Changqing Field (长庆) is an operating oil field in China.,1975,operating,operating,operating,operating
Chirodzi Coal Mine,Mozambique,Africa,2.928816,Coal,M0739,https://www.gem.wiki/Chirodzi_coal_mine,-15.914093,33.013188,GEM,JSPL Mozambique Minerals Limitada,Jindal Group (100.0%),Jindal Group (100.0%),," The Chirodzi coal mine is operated by  JSPL Mozambique Minerals Limitada, a subsidiary of Indian company Jindal Steel and Power (JSPL) near the village of Chirodzi, Tete province, Mozambique Mozambique.",2013,not started,operating,operating,operating
Christina Lake,Canada,North America,1.232128944,Oil&Gas,No informations available on GEM,No informations available on GEM,61.13501855188255,-107.92167121700273,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Chukchi Sea Offshore,United States,North America,2.539277487,Oil&Gas,No informations available on GEM,No informations available on GEM,39.883504448504894,-100.42644399660053,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Collingham Shale,South Africa,Africa,1.849888206,Oil&Gas,OG0013107|OG0013108|OG0017522,https://www.gem.wiki/Luiperd_Oil_and_Gas_Field_(South_Africa)|https://www.gem.wiki/Brulpadda_Oil_and_Gas_Field_(South_Africa)|https://www.gem.wiki/Paddavissie_Fairway_Oil_and_Gas_Complex_(South_Africa),-35.7985,23.1777,GEM,TotalEnergies|TotalEnergies|TotalEnergies,TotalEnergies (45.0%);QatarEnergy (25.0%);Canadian Natural Resources Limited (20.0%);Africa Energy Corp. (4.9%);Others (5.099999999999994%)|TotalEnergies (45.0%);QatarEnergy (25.0%);Canadian Natural Resources Limited (20.0%);Africa Energy Corp. (4.9%);Others (5.099999999999994%)|None (100.0%),TotalEnergies (45.0%);QatarEnergy (25.0%);Canadian Natural Resources Limited (20.0%);Africa Energy Corp. (4.9%);Others (5.099999999999994%)|TotalEnergies (45.0%);QatarEnergy (25.0%);Canadian Natural Resources Limited (20.0%);Africa Energy Corp. (4.9%);Others (5.099999999999994%)|None (100.0%),Luiperd|Brulpadda|Paddavissie Fairway,No description available,No start year available,not started,in development,in development,not started
Cumberland Coal Mine,United States,North America,1.89396768,Coal,M1012,https://www.gem.wiki/Cumberland_Mine,39.81,-80.17,GEM,Cumberland Coal Resources,Contura Energy (100.0%),Contura Energy (100.0%),,"Cumberland Mine is an underground mine, operated by Cumberland Coal Resources, a subsidiary of Contura Energy, producing 6.4 miillion short tons per annum, near Waynesburg, Pennsylvania, United States.",No start year available,operating,operating,operating,operating
DJ Basin Tight Oil,United States,North America,5.852116216,Oil&Gas,No informations available on GEM,No informations available on GEM,39.687485670505794,-100.52288135530986,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Dafosi Coal Mine,China,Asia,1.360020116,Coal,M0199,https://www.gem.wiki/Dafosi_Coal_Mine,35.062428,107.960069,GEM,Shaanxi Bingchang Dafosi Mining Company,Shaanxi Coal and Chemical Industry Group (56.8%);Binxian Coal Company (5.0%);Shaanxi Investment Group (5.0%);Others (0.20000000000000284%),Shaanxi Coal and Chemical Industry Group (56.8%);Binxian Coal Company (5.0%);Shaanxi Investment Group (5.0%);Others (0.20000000000000284%),,大佛寺煤矿 位于陕西省咸阳市彬县，设计生产能力为800万吨／年。,No start year available,operating,operating,operating,operating
Dahaize Coal Mine,China,Asia,7.993471068,Coal,M0200,https://www.gem.wiki/Dahaize_coal_mine,38.422179,109.277001,GEM,China Coal Shaanxi Yulin Energy Chemical Company,China Coal (100.0%),China Coal (100.0%),,大海则煤矿是一座井工煤矿，位于陕西省榆林榆阳区小纪汗镇。,No start year available,not started,operating,operating,operating
Dalaihushuo Coal Mine,China,Asia,2.875609176,Coal,M0201,https://www.gem.wiki/Dalaihushuo_coal_mine,45.382698,119.486564,GEM,Inner Mongolia Jimei Mining Industry Company,Jilin Province Coal Industry Group (41.0%);Tibet Hengyisheng Investment Company (39.0%);Fude Life Insurance Company (20.0%),Jilin Province Coal Industry Group (41.0%);Tibet Hengyisheng Investment Company (39.0%);Fude Life Insurance Company (20.0%),,"达来胡硕矿井,又称""霍林河二号矿井"", 矿井建设地点位于内蒙古自治区霍林郭勒市境内，矿井建设规模600万吨/年。",No start year available,not started,proposed,proposed,not started
Daliuta Coal Mine,China,Asia,1.207160328,Coal,M0202,https://www.gem.wiki/Shenhua_Daliuta_coal_mine,39.263103,110.234325,GEM,China Shenhua Energy,China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),,大柳塔煤矿大柳塔井 设计生产能力1800万吨/年。,No start year available,operating,operating,operating,operating
Dananhu No. 7 Coal Mine,China,Asia,3.63173184,Coal,M1112,https://www.gem.wiki/Dananhu_No._7_Mine,42.383,93.0205,GEM,Guotou Hami Eenergy Development Company,China Reform Holdings Company (36.0%);China Chengtong Holdings Group (20.0%);China Coal (29.0%);China Energy (15.0%),China Reform Holdings Company (36.0%);China Chengtong Holdings Group (20.0%);China Coal (29.0%);China Energy (15.0%),,大南湖七号煤矿 是一座露天煤矿，位于新疆哈密市伊州区大南湖乡。,No start year available,not started,operating,operating,operating
Dananhu No.1 Coal Mine,China,Asia,7.16583648,Coal,M0204,https://www.gem.wiki/Dananhu_No.1_Coal_Mine,42.382334,93.018391,GEM,State Grid Corporation of China Hami Coal & Energy Company,China Energy (100.0%),China Energy (100.0%),,国网能源哈密煤电有限公司大南湖一号矿井位于新疆维吾尔自治区哈密市南湖乡，生产能力为1000万吨/年。,No start year available,operating,operating,operating,operating
Dananhu West No.2 Coal Mine,China,Asia,2.74804677,Coal,M0206,https://www.gem.wiki/Dananhu_West_No.2_open-pit_mine,42.380815,92.96712,GEM,State Grid Corporation of China Hami Coal & Energy Company,China Energy (100.0%),China Energy (100.0%),,大南湖西区二号露天煤矿（一期工程）建设地点位于新疆维吾尔自治区哈密市伊州区大南湖乡。,No start year available,not started,operating,operating,operating
Daqing,China,Asia,2.601815792,Oil&Gas,No informations available on GEM,No informations available on GEM,35.02595199816,105.06413016461543,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Dingji Coal Mine,China,Asia,1.667325,Coal,M0208,https://www.gem.wiki/Dingji_Coal_Mine,32.871396,116.631428,GEM,Huaihu Coal and Electricity Company,Huaihe Energy (50.0%);China Cinda Asset Management (49.0%);Others (1.0%),Huaihe Energy (50.0%);China Cinda Asset Management (49.0%);Others (1.0%),,丁集煤矿 位于安徽省凤台县关店乡，生产能力为600万吨/年。,No start year available,operating,operating,operating,operating
Dipka Coal Mine,India,Asia,1.1718525,Coal,M0513,https://www.gem.wiki/Dipka_coal_mine,22.345077,82.544192,GEM,South Eastern Coalfields Limited (SECL),Coal India (100.0%),Coal India (100.0%),,"The Dipka coal mine is an open cast mine complex with a capacity of 35 million tonnes-per-annum (MTPA) in  Korba, Chhattisgarh, India.",No start year available,operating,operating,operating,operating
Dolphin,Qatar,Asia,1.550235876,Oil&Gas,OG0012467,https://www.gem.wiki/Dolphin_Oil_and_Gas_Field_(Qatar),26.1938,52.0041,GEM,Dolphin Energy Limited,Mubadala Investment Company (51.0%);TotalEnergies (24.5%);Occidental Petroleum Corporation (24.5%),Mubadala Investment Company (51.0%);TotalEnergies (24.5%);Occidental Petroleum Corporation (24.5%),,Dolphin Field is an operating oil and gas field in Qatar. This oil and gas field is part of the larger North Field complex.,No start year available,operating,operating,operating,operating
Dongzhouyao Coal Mine,China,Asia,2.152948235,Coal,M0210,https://www.gem.wiki/Dongzhouyao_mine,40.020636,112.863555,GEM,Jinneng Holding Coal Industry Group Dongzhouyao Datong Company,Jinneng Group (100.0%),Jinneng Group (100.0%),,东周窑煤矿 地处山西省大同市西北部左云县境内，建设规模为1000万吨/年。,No start year available,operating,operating,operating,operating
Dovletabad-Donmez,Turkmenistan,Asia,1.578094288,Oil&Gas,No informations available on GEM,No informations available on GEM,39.30607880411048,59.42847996414113,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Duvernay,Canada,North America,1.871369296,Oil&Gas,No informations available on GEM,No informations available on GEM,60.99826889734878,-107.95780402089514,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,operating,,operating,operating
Eagle Ford Shale,Mexico,North America,5.0680294,Oil&Gas,No informations available on GEM,No informations available on GEM,23.7236193025502,-101.98469117317585,Country CB,,No informations on company (100.0%),No informations on company (100.0%),,No description available,No start year available,not started,,not started,not started
Eagle Ford Shale,United States,North America,5.924247947,Oil&Gas,OG0014489|OG0014919|OG0015040|OG0015994|OG0016112|OG0016385|OG0016792,"https://www.gem.wiki/De_Witt_(Eagle_Ford_Shale)_-_Burlington_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/De_Witt_(Eagle_Ford_Shale)_-_Devon_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/De_Witt_(Eagle_Ford_Shale)_-_Ensign_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/De_Witt_(Eagle_Ford_Shale)_-_Pioneer_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Gates_Ranch_(Eagle_Ford_Shale)_-_Rosetta_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/De_Witt_(Eagle_Ford_Shale)_-_Teal_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Gates_Ranch_(Eagle_Ford_Shale)_-_XTO_Oil_and_Gas_Asset_(Texas,_United_States)",29.0941729,-97.53081645,GEM,Burlington Resources|Devon Energy|Ensign Operating|Pioneer Natural Resources|Rosetta Resources|Teal Operating|XTO Energy,None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%),Burlington Resources (100.0%)|Devon Energy (100.0%)|Ensign Operating (100.0%)|Pioneer Natural Resources (100.0%)|Rosetta Resources (100.0%)|Teal Operating (100.0%)|XTO Energy (100.0%),De Witt (Eagle Ford Shale) - Burlington|De Witt (Eagle Ford Shale) - Devon|De Witt (Eagle Ford Shale) - Ensign|De Witt (Eagle Ford Shale) - Pioneer|Gates Ranch (Eagle Ford Shale) - Rosetta|De Witt (Eagle Ford Shale) - Teal|Gates Ranch (Eagle Ford Shale) - XTO,No description available,No start year available,operating,operating,operating,operating
East Natuna (x-Natuna D-Alpha),Indonesia,Asia,2.158541118,Oil&Gas,OG0012818,https://www.gem.wiki/Anoa_Oil_and_Gas_Field_(Indonesia),-2.4833826,117.8902853,Country CB,Premier Oil PLC,Harbour Energy plc (20.0%);Kuwait Petroleum Corporation (20.0%);Petroliam Nasional Berhad (Petronas) (20.0%);PTT PLC (20.0%);PT Pertamina (20.0%),Harbour Energy plc (20.0%);Kuwait Petroleum Corporation (20.0%);Petroliam Nasional Berhad (Petronas) (20.0%);PTT PLC (20.0%);PT Pertamina (20.0%),,Anoa Field  is an operating oil and gas field in Indonesia.,1990,not started,operating,operating,operating
Eastern Gas Program,Russia,Europe,4.274058366,Oil&Gas,OG0012384,https://www.gem.wiki/East_Tazovskoye_Oil_and_Gas_Field_(Russia),67.39,79.405,GEM,Novatek,No informations on company (100.0%),Novatek (100.0%),,East Tazovskoye Field (Восточно-Тазовское) is an operating oil and gas field in Russia.,No start year available,operating,operating,operating,operating
El Descanso Coal Mine,Colombia,South America,4.149156,Coal,M0441,https://www.gem.wiki/El_Descanso_mine,9.7050912,-73.5231884,GEM,Drummond Limited,Drummond Company (100.0%),Drummond Company (100.0%),,"El Descanso mine or Mina El Descanso is located in northern Colombia, near the El Paso municipality in Colombia's Cesar Department. When mining began, the mine was considered the largest in the country and one of the largest in the world.",2009,operating,operating,operating,operating
El Sharara,Libya,Africa,1.00784607,Oil&Gas,OG0012725,https://www.gem.wiki/El_Sharara_Oil_Field_(Libya),26.394,11.936,GEM,Akakus Oil Operations,National Oil Corporation (Libya) (66.7%);Repsol SA (13.3%);TotalEnergies (10.0%);OMV Aktiengesellschaft (10.0%),National Oil Corporation (Libya) (66.7%);Repsol SA (13.3%);TotalEnergies (10.0%);OMV Aktiengesellschaft (10.0%),,El Sharara Field (nan) is a shut in oil field in Libya.,1996,operating,shut in,shut in,stopped
Elegest Coal Mine,Russia,Europe,2.281434144,Coal,M0792,https://www.gem.wiki/Elegest_coal_mine,51.565237,94.112646,GEM,Tuva Energy Industrial Company,Tuva Energy Industrial Company (100.0%),Tuva Energy Industrial Company (100.0%),," The Elegest coal mine (Элегестское угольное месторождение) is a proposed surface mine in Tuva Republic, south of Eastern Siberia, Russia. ",No start year available,operating,shelved,shelved,not started
Elga Coal Mine,Russia,Europe,4.528609428,Coal,M0794,https://www.gem.wiki/Elginskiy_Coal_Mine,56.192426,130.635752,GEM,Elga-Sibanthracite,A-Property (100.0%),A-Property (100.0%),,"Elginskiy coal mine (or Elga or Elginskoye) is a surface coal mine in Sakha Republic, Russia. ",2023,not started,operating,operating,operating
Ensham Coal Mine,Australia,Oceania,1.31499396,Coal,M0038,https://www.gem.wiki/Ensham_mine,-23.454464,148.497455,GEM,Sungela,Thungela Resources Australia (85.0%);LX International (15.0%),Thungela Resources Australia (85.0%);LX International (15.0%),," The Ensham mine is an open-cut and underground coal mine located near Emerald, Queensland, Australia. The mine is a joint venture of Sungela and Bowen Investment (Australia), with Sungela holding the majority of shares.",1993,operating,operating,operating,operating
Erkovetskiy Coal Mine,Russia,Europe,1.03891788,Coal,M0795,https://www.gem.wiki/Erkovetskiy_coal_mine,50.316,128.447,GEM,Amurugol JSC,Russian Coal (100.0%),Russian Coal (100.0%),," The Erkovetskiy coal mine (Ерковецкий разрез) is a surface mine in the Amur Oblast, Russia.",1991,operating,operating,operating,operating
Fengjiata Coal Mine,China,Asia,1.18617048,Coal,M0213,https://www.gem.wiki/Fengjiata_Coal_Mine,39.196394,111.13213,GEM,Shaanxi Qingshuichuan Energy Company,Shaanxi Investment Group (66.0%);Shaanxi Coal and Chemical Industry Group (34.0%),Shaanxi Investment Group (66.0%);Shaanxi Coal and Chemical Industry Group (34.0%),,陕西清水川能源股份有限公司冯家塔矿业分公司 位于陕西省榆林市府谷县清水乡，生产能力为600万吨/年。,No start year available,operating,operating,operating,operating
Fording River,Canada,North America,1.034808588,Coal,M0142,https://www.gem.wiki/Fording_River_Operations,50.19284,-114.86473,GEM,Teck Coal,Teck Resources (100.0%),Teck Resources (100.0%),,"Fording River Operations is a coal mine near Elkford, British Columbia, Canada.",1971,operating,operating,operating,operating
GAM Coal Mine,Indonesia,Asia,1.31552652,Coal,M0670,https://www.gem.wiki/Ganda_Alam_Makmur_(GAM)_coal_mine,1.142666,117.873624,GEM,Ganda Alam Makmur,LG International (50.0%);Titan Infra Energy (50.0%),LG International (50.0%);Titan Infra Energy (50.0%),,"The Ganda Alam Makmur coal mine (GAM) is an opencast mine, operated by PT Ganda Alam Makmur, a subsidiary of LG International and partners Titan Infra Energy, with a capacity of 4 million tonnes-per-annum (MTPA) in Sangkulirang, East Kutai, East Kalimantan, Indonesia.",No start year available,not started,operating,operating,operating
Gachsaran,Iran,Asia,1.739296877,Oil&Gas,OG0012180,https://www.gem.wiki/Gachsaran_Oil_and_Gas_Field_(Iran),30.2865,50.7415,GEM,National Iranian South Oil Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),,Gachsaran Field is an operating oil and gas field in Iran.,1959,operating,operating,operating,operating
Galilee Coal Mine,Australia,Oceania,1.81629,Coal,M0041,https://www.gem.wiki/Galilee_Coal_Project,-23.498536,145.94229,GEM,Waratah Coal,Mineralogy (100.0%),Mineralogy (100.0%),,"The Galilee Coal Project, also known as the China First Project, is a proposed coal mine complex, operated by Waratah Coal, set to produce 40 million tonnes per annum near Jericho, Queensland, Australia. The mine complex will include 4 underground mines and 2 surface mines.",2024,not started,shelved,shelved,not started
Gaohe Coal Mine,China,Asia,1.533939,Coal,M0218,https://www.gem.wiki/Gaohe_Coal_Mine,36.152253,112.990815,GEM,Shanxi Gaohe Energy Company,Lu'an Chemical Group (55.0%);Asian American Continental Coal Company (45.0%),Lu'an Chemical Group (55.0%);Asian American Continental Coal Company (45.0%),,山西高河能源有限公司（高河煤矿） 位于山西省长治市长治县郝家庄乡，现有产能为750万吨/年。,No start year available,operating,operating,operating,operating
Gaojiabao Coal Mine,China,Asia,1.1471196,Coal,M0219,https://www.gem.wiki/Gaojiabao_Coal_Mine,35.268672,107.818112,GEM,Shaanxi Zhengtong Coal Industry,Shandong Energy (100.0%),Shandong Energy (100.0%),,高家堡煤矿 是山东能源淄矿集团在陕西彬长矿区开发建设的第二对现代化大型矿井，位于国家规划的十三个大型煤炭基地之一的彬长矿区西北部，矿井建设规模为500万吨/年。,No start year available,operating,operating,operating,operating
Gaojialiang No.1 Coal Mine,China,Asia,2.012584728,Coal,M0220,https://www.gem.wiki/Gaojialiang_No.1_coal_mine,39.724671,110.065041,GEM,Ordos Haohua Fine Coal Company,Beijing Energy (50.0%);Ordos Energy Investment and Development Company (20.0%);Shougang Group (1.0%);Others (29.0%),Beijing Energy (50.0%);Ordos Energy Investment and Development Company (20.0%);Shougang Group (1.0%);Others (29.0%),,高家梁一号矿 又叫“高家梁煤矿”，属于内蒙古自治区东胜煤田万利矿区，是内蒙古自治区鄂尔多斯市伊金霍洛旗境内建设的特大型煤矿。该煤矿年生产能力为750万吨。,No start year available,operating,operating,operating,operating
Gaotouyao Coal Mine,China,Asia,1.870537152,Coal,M0222,https://www.gem.wiki/Gaotouyao_Coal_Mine,40.019808,109.639961,GEM,Inner Mongolia Beilian Power and Energy Development Company,China Huaneng (77.0%);Guangdong Hengjian Investment Holding Company (7.0%);China Energy (4.0%);Others (12.0%),China Huaneng (77.0%);Guangdong Hengjian Investment Holding Company (7.0%);China Energy (4.0%);Others (12.0%),,内蒙古北联电能源开发有限责任公司高头窑煤矿是一座井工煤矿，位于内蒙古自治区鄂尔多斯市达拉特旗昭君镇。,No start year available,operating,operating,operating,operating
